sheet,column,gap_status,confidence,candidate_current_tables,candidate_any_schema,rationale
Item Body,Sno,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_MasterCodes_Table.VoucherLineNo; Master_RegistrationDetails_Table.VoucherLineNo; Master_Table.VoucherLineNo; Transaction_Header_Table.VoucherLineNo; Transaction_ItemBody_Table.VoucherLineNo; Transaction_Payments_Table.VoucherLineNo,OpeningUnClearedCheques.Sno; recbleforemail.Sno; Sheet$.S No; StockBalances2023.S No; StockBalances2023.SNO; temp_adjbills.SNO; temp_adjbillspay.SNO; temp_bcd_table.Sno; TempAllocatedDetailsBody_Table.Sno; tempsproduct.Sno; AcadamicYearDetails_Table.VoucherLineNo; Account_AccountGroup_Table.VoucherLineNo,Exact/alias match exists in currently integrated ERP tables.
Item Body,rid,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.RID; Transaction_Payments_Table.rid,AssetStockLedger_Table.RID; BillWiseBalances2020.Rid; billwiseOpeningBalances.Rid; ConsumablesIssuebody_table.RID; deleteddutydrawback.RID; DeliveryPackingListDetails_Table.Rid; Diagnos_DiagnosticTestResults_Table.RID; Diagnos_InvestigationReceiptDetails_Table.RID; FeeReceivableDetails_table.rid; FillingStationCreditBill_Body_Table.rid; FillingStationSummaryBill_Body_Table.Rid; InspectionServiceCall_MachineDetails_Table.rid,Exact/alias match exists in currently integrated ERP tables.
Item Body,tvrid,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.TVRID,ConsumablesIssuebody_table.TVRID; DeliveryPackingListDetails_Table.TVRid; Diagnos_DiagnosticTestResults_Table.TVRID; Diagnos_InvestigationReceiptDetails_Table.TVRID; FeeReceivedDetails_table.tvrid; FillingStationSummaryBill_Body_Table.tvrid; InspectionServiceCall_MachineDetails_Table.tvrid; IssuestoProduction_ItemBody_Table.TVRID; PackingDetails_ItemBody_Table.TVRid; PreviousYear_POSSales_Table.TVRID; TailorOrderAllocationOrDeliveryDetails_Table.TVrid; TempAllocatedDetailsBody_Table.TVRid,Exact/alias match exists in currently integrated ERP tables.
Item Body,MRVNo,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,Mfg Date,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,PackingSlip_ItemBody_Table.MfgDate,Match exists in script.sql but outside current connector table scope.
Item Body,Exp Date,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,Actual Qty,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Quantity,ApparelPhysicalStockUpdate_ItemBody_Table.Quantity; AssetAllotmentDetails_Table.Quantity; Assets_ComponentDetails_Table.Quantity; Assets_PuttoUseDetails_Table.quantity; AssetSale_ItemBody_Table.Quantity; DeliveryPackingListDetails_Table.Quantity; FillingStationCreditBill_Body_Table.Quantity; FillingStationSummaryBill_Body_Table.Quantity; InspectionServiceCall_MachineDetails_Table.Quantity; IssuestoProduction_ItemBody_Table.Quantity; LastYearInformation_Body_Table.Quantity; PreviousYear_POSSales_Table.Quantity,Exact/alias match exists in currently integrated ERP tables.
Item Body,Pending Qty,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,Packages,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Packages,PreviousYear_POSSales_Table.Packages; Transaction_ItemBody_Table.Packages; Transaction_ItemBody1_Table.Packages; Transaction_ReturnItemBody_Table.Packages; Tripsheet_ItemDetails_Table.Packages; UnloadingSheet_ItemDetails_Table.Packages,Exact/alias match exists in currently integrated ERP tables.
Item Body,Free Product,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.FreeProduct,PreviousYear_POSSales_Table.FreeProduct; Product_Schemes_Table.FreeProduct; ProductSchemes_BenefitsBody_Table.FreeProduct; Retail_Schemes_Table.FreeProduct; Transaction_ItemBody_Table.FreeProduct; Transaction_ItemBody1_Table.FreeProduct; Transaction_ReturnItemBody_Table.FreeProduct,Exact/alias match exists in currently integrated ERP tables.
